cargo;empresa;cidade;nivel;area;estado
Gerente de Facilities;Confidencial;Localização não informada;Gerência;Administrativo;
Gerente de Infraestrutura;Confidencial;Localização não informada;Gerência;Administrativo;
Gerente de Projetos;Confidencial;Localização não informada;Gerência;Administrativo;
Analista Administrativo Sênior;Tradimaq SA;Ouro Branco;Sênior;Administrativo;MG
Auxiliar Administrativo Pl;Grupo Protege;Cascavel;Pleno;Administrativo;PR
Assistente Administrativo;DCML;Belo Horizonte;Auxiliar/Operacional;Administrativo;MG
Auxiliar Administrativo;MINASMAQUINAS;Juiz de Fora;Auxiliar/Operacional;Administrativo;MG
Gerente de Produção;Confidencial;Localização não informada;Gerência;Administrativo;
Gerente de Obras;Confidencial;Localização não informada;Gerência;Administrativo;
Gerente de EHS;Confidencial;Localização não informada;Gerência;Administrativo;
Assistente Administrativo;Amigos do Bem;São Paulo;Auxiliar/Operacional;Administrativo;SP
Gerente Predial;Manager Gestão Condominial;São Paulo;Gerência;Administrativo;SP
Gerente de Processos;Confidencial;Localização não informada;Gerência;Administrativo;
Auxiliar Administrativo;Inspirali;Natal;Auxiliar/Operacional;Administrativo;RN
